Not using distributed mode
Namespace(aux_loss=False, batch_size=3, dataset='coco', device='cuda', dist_url='env://', distributed=False, epochs=30, lr=0.01, model='fcn_resnet101', momentum=0.9, output_dir='.', pretrained=True, print_freq=10, resume='', start_epoch=0, test_only=True, weight_decay=0.0001, workers=0, world_size=1)
loading annotations into memory...
Done (t=13.98s)
creating index...
index created!
loading annotations into memory...
Done (t=0.41s)
creating index...
index created!
Test:  [   0/1667]  eta: 0:18:35    time: 0.6694  data: 0.0871  max mem: 809
Test:  [ 100/1667]  eta: 0:12:37    time: 0.4787  data: 0.0633  max mem: 1367
Test:  [ 200/1667]  eta: 0:12:09    time: 0.5153  data: 0.0705  max mem: 1575
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
cudnn_convolution            0.03%            37.010ms         0.14%            186.952ms        531.113us        0.17%            811.493ms        2.305ms          352              [[3, 1024, 98, 87], [256, 1024, 1,   
conv2d                       0.00%            544.270us        0.01%            19.435ms         281.671us        0.16%            798.482ms        11.572ms         69               [[3, 512, 65, 87], [512, 512, 3, 3]  
convolution                  0.00%            506.260us        0.01%            18.891ms         273.783us        0.16%            798.288ms        11.569ms         69               [[3, 512, 65, 87], [512, 512, 3, 3]  
_convolution                 0.00%            2.223ms          0.01%            18.385ms         266.446us        0.16%            798.091ms        11.567ms         69               [[3, 512, 65, 87], [512, 512, 3, 3]  
cudnn_convolution            0.01%            7.652ms          0.01%            13.266ms         192.267us        0.16%            796.371ms        11.542ms         69               [[3, 512, 65, 87], [512, 512, 3, 3]  
bincount                     0.11%            149.248ms        0.14%            192.164ms        1.209ms          0.15%            705.585ms        4.438ms          159              [[360360], []]                       
conv2d                       0.00%            338.610us        0.01%            14.475ms         371.155us        0.14%            670.738ms        17.198ms         39               [[3, 512, 87, 87], [512, 512, 3, 3]  
convolution                  0.00%            294.263us        0.01%            14.136ms         362.473us        0.14%            670.548ms        17.194ms         39               [[3, 512, 87, 87], [512, 512, 3, 3]  
_convolution                 0.00%            1.224ms          0.01%            13.842ms         354.927us        0.14%            670.442ms        17.191ms         39               [[3, 512, 87, 87], [512, 512, 3, 3]  
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Self CPU time total: 134.283s
CUDA time total: 485.384s

global correct: 92.1
average row correct: ['94.6', '90.1', '81.2', '72.0', '76.1', '64.5', '88.0', '66.0', '94.7', '45.7', '70.5', '69.8', '91.2', '85.0', '72.8', '91.0', '70.5', '87.0', '57.3', '72.7', '62.4']
IoU: ['90.9', '81.8', '67.4', '56.4', '60.4', '52.3', '82.7', '56.7', '89.9', '38.9', '63.6', '36.7', '64.3', '76.6', '66.9', '82.8', '47.7', '68.1', '45.3', '69.7', '55.9']
mean IoU: 64.5
